reviews,date,ratings,year,month,cleaned_reviews,polarity,Sentiment_analysis
"✅ Trip Verified |  Easy check in a T5. Galleries south and North lounges packed, only just able to get a seat. Didn’t stay long as B gates lounge much quieter. Flight boarded smoothly and on time. A380 upper deck. Old club world seating which is beginning to age a little. However, like the large toilets on this aircraft type. Cabin crew were all fantastic. One family had tech issues with their seats and entertainment systems which crew worked hard on though sadly without success. Food and drink options were all very good. Entertainment was good. Overall an enjoyable flight.",2023-08-13,5,2023,8,  easy check         galleries south   north lounges packed  only just able       seat  didn   stay long     gates lounge much quieter  flight boarded smoothly     time       upper deck    club world seating which   beginning       little  however  like   large toilets   this aircraft type  cabin crew were   fantastic    family   tech issues with their seats   entertainment systems which crew worked hard   though sadly without success  food   drink options were   very good  entertainment   good  overall   enjoyable flight ,0.20755602240896362,Positive
"Not Verified |  Flight delayed by an hour, it happens, no biggie. Had us change our gate at the airport, never happened before but I guess it's ok. Gate agent asked us to check our bags and after telling him we would prefer not to do that, he did it anyway. Second gate agent reassigned our seats from exit row to regular which is a huge squeeze my for 6'3"" travel bud. ",2023-08-12,8,2023,8,  flight delayed     hour    happens    biggie      change   gate     airport  never happened before     guess        gate agent asked     check   bags   after telling     would prefer       that        anyway  second gate agent reassigned   seats from exit     regular which     huge squeeze          travel    ,0.13333333333333336,Positive
Not Verified | The staff are very rude and not trained properly. No exceptions are made for children and elderly people. The price of the ticket is very expensive given the distance and the service is extremely extremely poor,2023-08-11,2,2023,8,   staff   very rude     trained properly    exceptions   made   children   elderly people    price     ticket   very expensive given   distance     service   extremely extremely poor,-0.36,Negative
✅ Trip Verified |  Good domestic flight operated by BA Cityflyer. Ground service at check-in Edinburgh airport was particularly friendly and helpful. The flight departed on time and arrived earlier than scheduled. A complimentary drink and snack (albeit tiny!) were served. Generally it seems that the quality of the Cityflyer subsidiary is superior to the mainline British Airways flights.,2023-08-08,2,2023,8,  good domestic flight operated     cityflyer  ground service   check   edinburgh airport   particularly friendly   helpful    flight departed   time   arrived earlier than scheduled    complimentary drink   snack  albeit tiny   were served  generally   seems that   quality     cityflyer subsidiary   superior     mainline british airways flights ,0.2361111111111111,Positive
Not Verified | Failed at all basic travel fundamentals: 1) Our flight was delayed. 2) Staff demanded that we check in our carry on luggage even though we met our carry on allowance. The fact that we have a tight bus connection was totally ignored. 3) Staff were quite unpleasant.,2023-08-08,10,2023,8, failed     basic travel fundamentals       flight   delayed     staff demanded that   check     carry   luggage even though       carry   allowance    fact that   have   tight   connection   totally ignored     staff were quite unpleasant ,-0.2657142857142857,Negative
"✅ Trip Verified |  They lost my baggage in a very simple situation. It's been three weeks and they don't care, no communication whatsoever. I was at the connection checkpoint at Heathrow 3hrs before my connecting flight, the last leg of my trip. An agent insists on checking in my hand luggage since my plane is full. And then they lose it. I claim it at the arrival airport immediately. Now it's been three weeks, no communication whatsoever, the online status is still “Searching for your bag” with no updates. My conclusion is that the BA males no effort to find my missing bag and they don't care. ",2023-08-08,1,2023,8,  they lost   baggage     very simple situation      been three weeks   they     care    communication whatsoever          connection checkpoint   heathrow    before   connecting flight    last       trip    agent insists   checking     hand luggage since   plane   full    then they lose      claim       arrival airport immediately        been three weeks    communication whatsoever    online status   still  searching   your    with   updates    conclusion   that     males   effort   find   missing     they     care  ,0.03749999999999999,Positive
✅ Trip Verified |  Late boarding led to a one hour flight leaving two hours late. A single BA staff member turned up to board a full flight shortly before the flight was due to depart. There had been no previous announcement of the delay. Once on board the captain blamed Frankfurt ground staff for delaying takeoff when clearly late boarding had resulted in a missed departure slot.,2023-08-05,1,2023,8,  late boarding         hour flight leaving   hours late    single   staff member turned     board   full flight shortly before   flight       depart  there   been   previous announcement     delay  once   board   captain blamed frankfurt ground staff   delaying takeoff when clearly late boarding   resulted     missed departure slot ,-0.11258503401360542,Negative
✅ Trip Verified | As usual the flight is delayed. BA try to blame someone for the inability and incapacity of delivering what they sell. Why don't you hire enough personnel to fulfil your staff demand. ,2023-08-04,1,2023,8,   usual   flight   delayed        blame someone     inability   incapacity   delivering what they sell          hire enough personnel   fulfil your staff demand  ,-0.125,Negative
✅ Trip Verified |  I had the most fantastic BA Flight today. The cabin crew in my seat zone 6D were of the best I have experienced. Although the 777 had the old style rear/front seating - it was comfortable and felt open and spacious. BA have done great things with the menu - it was nice not to have to eat breakfast food on the pre-arrival meal into HKG at 1730PM local time having left London at 2200 the night before. The dinner offering was equally ample and delicious. The inflight entertainment had a great collection of TV and current films and the inflight map was first rate. Previously not a huge BA fan - but after this 12 hour flight I could only recommend it without reserve. I flew the new BA suite in J class on a recent Delhi to London flight and enjoyed that product (although I felt it slightly more cramped ) but I think BA have stepped up with really comfortable bedding and food and very friendly crew who engaged throughout the flight in the best way. Couldn't recommend BA more on this flight today,2023-08-01,1,2023,8,        most fantastic   flight today    cabin crew     seat zone    were     best   have experienced  although             style rear front seating       comfortable   felt open   spacious    have done great things with   menu       nice     have     breakfast food       arrival meal into           local time having left london          night before    dinner offering   equally ample   delicious    inflight entertainment     great collection       current films     inflight     first rate  previously     huge         after this    hour flight   could only recommend   without reserve    flew       suite     class     recent delhi   london flight   enjoyed that product  although   felt   slightly more cramped       think   have stepped   with really comfortable bedding   food   very friendly crew   engaged throughout   flight     best    couldn   recommend   more   this flight today,0.43072916666666666,Positive
✅ Trip Verified |  Couldn’t book in online. Arrived at check in to find we had been bumped off due to overselling. No BA staff available. Very helpful Gatwick staff got us a bus to LHR and a flight to Toulouse. Had knock in effect on our car booking and sharing as the rest of family had been able yo board original flight. Airlines should be legally stopped from selling seats twice.,2023-07-31,10,2023,7,  couldn   book   online  arrived   check     find     been bumped       overselling      staff available  very helpful gatwick staff                 flight   toulouse    knock   effect       booking   sharing     rest   family   been able   board original flight  airlines should   legally stopped from selling seats twice ,0.335,Positive
